Type,Indicator,Description,Info
URL,clk-brood[.]top,FIN7,FakeBat C2
URL,clk-info[.]ru,FIN7,FakeBat C2
URL,clk-info[.]site,FIN7,FakeBat C2
URL,cornbascet[.]ru,FIN7,FakeBat C2
URL,cornbascet[.]site,FIN7,FakeBat C2
URL,dns-inform[.]top,FIN7,FakeBat C2
URL,fresh-prok[.]ru,FIN7,FakeBat C2
URL,fresh-prok[.]site,FIN7,FakeBat C2
URL,ganalytics-api[.]com,FIN7,FakeBat C2
URL,gotrustfear[.]ru,FIN7,FakeBat C2
URL,gotrustfear[.]site,FIN7,FakeBat C2
URL,infocdn-111[.]online,FIN7,FakeBat C2
URL,infocdn-111[.]site,FIN7,FakeBat C2
URL,infocdn-111[.]xyz,FIN7,FakeBat C2
URL,new-prok[.]ru,FIN7,FakeBat C2
URL,new-prok[.]site,FIN7,FakeBat C2
URL,newtorpan[.]ru,FIN7,FakeBat C2
URL,newtorpan[.]site,FIN7,FakeBat C2
URL,prkl-ads[.]ru,FIN7,FakeBat C2
URL,prkl-ads[.]site,FIN7,FakeBat C2
URL,test-pn[.]ru,FIN7,FakeBat C2
URL,test-pn[.]site,FIN7,FakeBat C2
URL,topttr[.]com,FIN7,FakeBat C2
URL,trust-flare[.]ru,FIN7,FakeBat C2
URL,trust-flare[.]site,FIN7,FakeBat C2
URL,trustdwnl[.]ru,FIN7,FakeBat C2
URL,ads-analyze[.]online,FIN7,Malvertising Infrastructure
URL,ads-analyze[.]site,FIN7,Malvertising Infrastructure
URL,ads-analyze[.]top,FIN7,Malvertising Infrastructure
URL,ads-analyze[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-change[.]online,FIN7,Malvertising Infrastructure
URL,ads-change[.]site,FIN7,Malvertising Infrastructure
URL,ads-change[.]top,FIN7,Malvertising Infrastructure
URL,ads-change[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-creep[.]top,FIN7,Malvertising Infrastructure
URL,ads-creep[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-eagle[.]top,FIN7,Malvertising Infrastructure
URL,ads-eagle[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-forget[.]top,FIN7,Malvertising Infrastructure
URL,ads-hoop[.]top,FIN7,Malvertising Infrastructure
URL,ads-hoop[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-moon[.]top,FIN7,Malvertising Infrastructure
URL,ads-moon[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-pill[.]top,FIN7,Malvertising Infrastructure
URL,ads-pill[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-star[.]online,FIN7,Malvertising Infrastructure
URL,ads-star[.]site,FIN7,Malvertising Infrastructure
URL,ads-star[.]top,FIN7,Malvertising Infrastructure
URL,ads-star[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-strong[.]online,FIN7,Malvertising Infrastructure
URL,ads-strong[.]site,FIN7,Malvertising Infrastructure
URL,ads-strong[.]top,FIN7,Malvertising Infrastructure
URL,ads-strong[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-tooth[.]top,FIN7,Malvertising Infrastructure
URL,ads-tooth[.]xyz,FIN7,Malvertising Infrastructure
URL,ads-work[.]site,FIN7,Malvertising Infrastructure
URL,ads-work[.]top,FIN7,Malvertising Infrastructure
